resource,linked_g,codes,manual
1635268063-584757,"['CC-BY-NC-ND_v4', 'GNU_GPL_v3']",CC-BY-NC-ND_v4 GNU_GPL_v3,
1635268063-591857,[CC-BY_v4] Creative Commons Attribution 4.0 International (Creative Commons) https://creativecommons.org/licenses/by/4.0/legalcode,CC-BY_v4,
1635268063-580315,CC-BY-NC-SA_v4,CC-BY-NC-SA_v4,
1635268063-596305,"The licences that match the given licence description are:
- [CC-BY-SA_v3] Creative Commons Attribution-ShareAlike 3.0 International (Creative Commons) https://creativecommons.org/licenses/by-sa/3.0/
- [CC-BY-SA_v4] Creative Commons Attribution-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-sa/4.0/",CC-BY-SA_v4,
1635268063-600864,"['CC-BY_v4', 'CC0 1.0 Universal']",CC-BY_v4,
1635268063-587671,"The selected licences from the list that match the given licence description are:

- [Cc010Universal] CC0 1.0 Universal (CC0 1.0) Public Domain Dedication (Creative Commons)
- [GnuFreeDocumentationLicense] GNU Free Documentation License version 1.3 (Free Software Foundation)
- [None] The Library of Congress license (Public Domain)

Please note that the Facebook and Twitter terms of service are not included in the list of licences provided.",Cc010Universal GnuFreeDocumentationLicense,
1635268063-595624,The description 'MIT' corresponds to the [ExpatLicense] MIT License (MIT) https://opensource.org/licenses/MIT,,MIT
1635268063-590961,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,,Cc010Universal
1635268063-601828,CC-BY_v4,CC-BY_v4,
1635268063-597411,[CC-BY-NC_v4],CC-BY-NC_v4,
