resource,licence_g,linked_g
1635268063-583206,"['CPEB:CW', 'unknown']",NONE
1635268063-589753,['Unknown'],NONE
1635268063-59862,"['JS, Popper.js, and jQuery', ""['JS', 'Popper.js', 'jQuery']"", '']","The licences that refer to the description ""JS, Popper.js, and jQuery"" are:
- [Apache-2.0] Apache License, Version 2.0 (The Apache Software Foundation)
- [MIT] MIT License (N.N.)
- [BSD-2-Clause] BSD 2-Clause ""Simplified"" License (N.N.)"
1635268063-590047,"[""['Cantus Database', 'Portuguese Early Music Database', 'Slovak Early Music Database', 'Hungarian Chant Database', 'Fontes Cantus Bohemiae', 'Cantus Planus in Polonia', 'Cantus Ultimus', 'Comparatio', 'Musica Hispanica', 'Gregorien.info', 'Antiphonale & Graduale Synopticum', 'Medieval Music Manuscripts Online', 'Codicologica et Hymnologica Bohemica Liturgica', 'Fragmenta Manuscriptorum Musicalium Hungariae Mediaevalis', 'Birgittine Database', 'Medieval Music Manuscripts from Austrian Monasteries', 'Usuarium - A Digital Library and Database', 'BENEDICAMUS: Music and Poetic Creativity for a Unique Moment in the Western Christian Liturgy, c. 1000-1500', 'Melodiarium Hungariae Medii Aevi Digitale']""]",NONE
1635268063-588935,"['CC BY-NC', ""['CC BY-NC']""]",[CC-BY-NC_v4] Creative Commons Attribution-NonCommercial 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc/4.0/legalcode
1635268063-592317,"[""['https://visit.bodleian.ox.ac.uk/terms-of-use', '//visit.bodleian.ox.ac.uk/privacy-policy', '//visit.bodleian.ox.ac.uk/cookies', '//visit.bodleian.ox.ac.uk/website-accessibility']"", '']",NONE
1635268063-57863,"[""[{'name': 'CC0', 'url': 'https://creativecommons.org/publicdomain/zero/1.0/'}]""]",CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
1635268063-579562,"[""{'Creative Commons Attribution 4.0 International License': ''}"", ""{'Creative Commons Attribution 4.0 International License': ''}""]",[CC-BY_v4] Creative Commons Attribution 4.0 International (Creative Commons)
1635268063-582248,"[""['Creative Commons', 'Talis']""]",NONE
1638956003-2813141,"[""['Unknown']"", '']",NONE
1635268063-595327,"[""['GNU General Public License', 'Custom License', 'Creative Commons License']""]",NONE
1638798340-997409,"[""{'Apache Tomcat': '', 'Batik': '', 'D3.js': '', 'html-midi-player': '', 'IntelliJ IDEA': '', 'Java': '', 'MobileESP': '', 'WordPress': ''}"", ""{'abcjs': 'https://github.com/paulrosen/abcjs/blob/master/LICENSE-MIT', 'abcMIDI': 'https://abc.sourceforge.io/abcMIDI/', 'abcm2ps': 'http://moinejf.free.fr/', 'Apache Tomcat': 'http://tomcat.apache.org/', 'Batik': 'http://xmlgraphics.apache.org/batik/index.html', 'D3.js': 'https://d3js.org/', 'DokuWiki': 'https://www.dokuwiki.org/dokuwiki', 'Glyphicons': 'http://glyphicons.com/', 'html-midi-player': 'https://github.com/cifkao/html-midi-player/', 'IntelliJ IDEA': 'https://www.jetbrains.com/idea/', 'Java': 'http://www.java.com/en/', 'MobileESP': 'http://code.google.com/p/mobileesp/', 'WordPress': 'http://wordpress.org/'}""]","Based on the provided description, the licences for the mentioned resources are as follows:

- Apache Tomcat: Apache License, Version 2.0 (Apache-2.0)
- Batik: Apache License, Version 2.0 (Apache-2.0)
- D3.js: None
- html-midi-player: None
- IntelliJ IDEA: Apache License, Version 2.0 (Apache-2.0)
- Java: None
- MobileESP: Apache License, Version 2.0 (Apache-2.0)
- WordPress: GNU General Public License, Version 2 (GNU_GPL_v2)"
1635268063-579102,"[""['Java', 'JavaScript']""]",NONE
1635268063-599591,"[""['Unknown']"", ""['wettelijke regeling']"", ""['Google Web ELements - Translate']""]",NONE
1635268063-5954,"[""[{'name': 'Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License', 'URL': 'https://creativecommons.org/licenses/by-nc-sa/4.0/'}]"", ""['Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License']""]",[CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
1635268063-591422,"[""{'Albert Schatz Collection': 'public domain'}"", ""{'/static/images/logo-loc-new-branding.svg': {'licences': [{'name': 'Public Domain', 'url': ''}], 'copyright': ''}, '/static/portals/accessibility/images/home.png': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, '/static/portals/apps/images/bard-app.png': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, '/static/images/social-media/facebook.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, '/static/images/social-media/twitter.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, '/static/images/share/link.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, 'https://tile.loc.gov/storage-services/media/webcasts/2017/170919eeo0833/data/poster-image-accessibility-1.jpg': {'licences': [{'name': 'Public Domain', 'url': ''}], 'copyright': ''}, 'https://tile.loc.gov/storage-services/media/webcasts/2017/170919eeo0833/data/170919eeo0833_1280x720_2000.mp4': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, '/static/images/social-media/youtube.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, '/static/images/social-media/pinterest.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, '/static/images/social-media/flickr.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'copyright': ''}, '/static/images/social-media/instagram.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'url': ''}, '/static/images/social-media/itunesU.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'url': ''}, '/static/images/share/email.svg': {'licences': [{'name': 'All Rights Reserved', 'url': ''}], 'url': ''}, '/static/images/congress-gov.svg': {'licences': [{'name': 'Public Domain', 'url': ''}], 'url': ''}, '/static/images/copyright-gov.svg': {'licences': [{'name': 'Public Domain', 'url': ''}], 'url': ''}}""]","The selected licences from the provided description are: 
- 'Albert Schatz Collection': 'public domain'
- '/static/images/logo-loc-new-branding.svg': 'Public Domain'
- 'https://tile.loc.gov/storage-services/media/webcasts/2017/170919eeo0833/data/poster-image-accessibility-1.jpg': 'Public Domain'
- '/static/images/congress-gov.svg': 'Public Domain'
- '/static/images/copyright-gov.svg': 'Public Domain'"
1645712131-57912,"[""[{'name': 'Google Terms of Service', 'url': 'https://policies.google.com/terms'}]""]",NONE
1635268063-583722,"[""{'document': 'https://www.cam.ac.uk/about-this-site/terms', 'image': 'https://www.cam.ac.uk/about-this-site/terms'}""]",NONE
1635268063-591191,['unknown'],NONE
1635268063-594048,"['N/A', 'Unknown']",NONE
1635268063-592617,"['None', ""['unknown']""]",NONE
1635268063-599519,['All rights reserved'],"Based on the given description, the licence corresponds to ""NONE"" as it does not match any of the licences listed."
1635268063-581866,"['CC-BY-SA', ""['Creative Commons', 'Talis']"", ""['W3C Recommendation', 'Working Group Notes']""]","The licence description ""CC-BY-SA ['Creative Commons', 'Talis'] ['W3C Recommendation', 'Working Group Notes']"" refers to the following licences: [CC-BY-SA_v4] Creative Commons Attribution-ShareAlike 4.0 International (Creative Commons)"
1635268063-595096,"[""['CC-BY-SA license']"", ""['Creative Commons']""]",[CC-BY-SA_v4] Creative Commons Attribution-ShareAlike 4.0 International (Creative Commons)
1635268063-594871,"[""['GNU Lesser General Public License (LGPL)', 'Creative Commons', 'Open Source']"", 'Unknown']","The description refers to the following licences:

- GNU Lesser General Public License (LGPL)
- Creative Commons

There is no mention of the Open Source license in the provided description."
1645712351-8043017,"[""[{'name': 'CC BY-NC-SA', 'url': 'https://creativecommons.org/licenses/by-nc-sa/4.0/'}]"", ""{'Patrick Dawkins': 'N/A', 'The MuseScore team': 'N/A', 'Edward Guo of IMSLP': 'N/A', 'Iain Gunn and I': 'N/A', 'Jay Wilson': 'Public domain', 'Roger Moseley': 'N/A', 'Neil Dodgson': 'N/A', 'Sally Jane Norman': 'N/A', 'Laurent Pugin': 'N/A', 'the people and teams who produced the score transcriptions on': 'N/A', 'Ryaan Ahmed': 'N/A', 'Michael Scott Cuthbert': 'N/A', 'Katharine Ellis': 'N/A', 'Elena Anastopoulos': 'N/A', 'Peter Gotham': 'N/A', 'Alexandra (Xann) Schwinn': 'N/A', 'Karl Schwonik': 'N/A', 'University of Cambridge': 'N/A', 'Cornell University': 'N/A', 'Technische Universität Dortmund': 'N/A'}""]",The licence description refers to the [CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International licence.
1645595496-6777816,"['GPL v3', ""['Unknown']"", 'open source']",GNU_GPL_v3
1638799020-858299,"['{}', '{}', ""{'Google Tag Manager': ['https://www.googletagmanager.com/ns.html?id=GTM-PZK7M8V']}""]",NONE
1638949164-9532564,"[""['https://www.gnu.org/licenses/gpl.txt']"", ""['GNU General Public License']""]",['GNU_GPL_v3']
1635268063-585215,"[""[{'type': 'Other', 'url': 'https://it.johnshopkins.edu/policies/privacystatement'}, {'type': 'Other', 'url': 'https://www.library.jhu.edu/policies/rights-and-reproductions/'}]"", '{}']",NONE
1638974544-1997092,['N/A'],NONE
1635268063-59808,"[""[{'name': 'CC BY 1.0 Deed', 'link': 'https://creativecommons.org/licenses/by/1.0/'}]"", ""[{'type': 'Creative Commons Attribution License', 'url': 'http://creativecommons.org/licenses/by/1.0/'}]""]",The licence description refers to the [CC-BY_v4] Creative Commons Attribution 4.0 International licence.
1635268063-594499,"['[\'All\', \'User Agreement\', \'Content Policy\', \'Moderator Code of Conduct\', \'Premium and Virtual Goods Agreement\', \'Previews Terms of Use\', \'Creator Terms\', \'Developer Terms\', \'Data API Terms\', \'Embeds Terms of Use\', \'Responsible Disclosure / Bug Bounty Program\', \'Trademark Use Policy\', \'Guidelines for Law Enforcement\', ""Reddit\'s Anti-Slavery And Human Trafficking Statement""]']",NONE
1635268063-595552,"['Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License', ""['Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)']"", '']",[CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
1635268063-594798,"[""['Creative Commons Attribution 4.0 International', 'MIT License']""]","The following licences match the description:

- [CC-BY_v4] Creative Commons Attribution 4.0 International (Creative Commons)
- [MIT] MIT License"
1635268063-59428,"[""['All music on this site is from composers whose works are in the public domain, or published with the permission of the composer or small extracts for evaluation and study.', 'Permission is granted for the following uses only: Downloads and copying by private individuals for their own personal use at home, school, study or exam.', 'Performances at schools, bands, ensembles, church and small concerts where no charge is made or where any funds raised are for charitable or fund raising events only.']""]",NONE
1635268063-584397,"[""['Unknown']""]",NONE
1635268063-579188,"[""[{'text': 'CC0 Creative Commons', 'link': 'https://creativecommons.org/publicdomain/zero/1.0/'}, {'text': 'CC BY-NC 4.0 license', 'link': '//www.lib.washington.edu/about/policy/creative-commons/'}]""]","The licences corresponding to the given description are:

- [Cc010Universal] CC0 1.0 Universal (CC0 1.0) Public Domain Dedication (Creative Commons) https://creativecommons.org/publicdomain/zero/1.0/legalcode
- [CC-BY-NC_v4] Creative Commons Attribution-NonCommercial 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc/4.0/legalcode"
1645711895-1029153,"['{\'1\': \'All rights reserved\', \'2\': \'Creative Commons BY-NC-SA 3.0 license\', \'3\': ""Contributor\'s permission""}']","The description refers to the following licences:

1. NONE
2. CC-BY-NC-SA_v4
3. NONE"
1635268063-579855,"['{}', ""{'Library of Congress': {'URL': 'https://www.loc.gov/access/', 'Type': 'Accessibility'}}""]",NONE
1639039719-2525394,"[""[{'name': 'PAGCOR', 'description': 'Philippine Amusement and Gaming Corporation'}]"", ""[{'name': 'PAGCOR', 'type': 'License'}]""]",NONE
1635268063-583122,"[""{'Arnold Schönberg Estate': {'website': 'http://www.unesco.org/new/en/communication-and-information/flagship-project-activities/memory-of-the-world/register/full-list-of-registered-heritage/registered-heritage-page-1/arnold-schoenberg-estate/'}, 'Arnold Schönberg Center': {'website': 'https://schoenberg.at/index.php/de/'}, 'Weltdokumentenerbe in Österreich': {'website': 'https://en.unesco.org/programme/mow/register'}}"", ""[{'name': 'Terms of Service', 'url': 'https://twitter.com/tos'}, {'name': 'Privacy Policy', 'url': 'https://twitter.com/privacy'}, {'name': 'Cookie Policy', 'url': 'https://support.twitter.com/articles/20170514'}, {'name': 'Imprint', 'url': 'https://legal.twitter.com/imprint.html'}, {'name': 'Ads info', 'url': 'https://business.twitter.com/en/help/troubleshooting/how-twitter-ads-work.html?ref=web-twc-ao-gbl-adsinfo&utm_source=twc&utm_medium=web&utm_campaign=ao&utm_content=adsinfo'}]""]",NONE
1638798822-6517777,"['', 'all rights reserved']",NONE
1639384427-9732945,"[""[{'name': 'Privacy Policy', 'url': 'https://musescore.com/legal/privacy'}, {'name': 'Terms of Use', 'url': 'https://musescore.com/legal/terms'}, {'name': 'DMCA', 'url': 'https://musescore.com/legal/dmca'}]"", ""{'https://musescore.com/legal/privacy': 1, 'https://musescore.com/legal/terms': 1, 'https://musescore.com/legal/dmca': 1}""]","The licence descriptions ['https://musescore.com/legal/privacy', 'https://musescore.com/legal/terms', 'https://musescore.com/legal/dmca'] correspond to the following licences:

- None"
1635268063-59239,"['All rights reserved', 'unknown']","The description ""All rights reserved unknown"" does not match any of the licences from the list provided. Therefore, the answer is 'NONE'."
1635268063-598767,"[""['CCARH Courses', 'Electronic and Virtual Editions (EVE)', 'Archive of Digital Applications in Musicology (ADAM)']"", 'Creative Commons Attribution-NonCommercial-ShareAlike']",NONE
1635268063-599884,"[""[{'licence': 'Creative Commons Attribution 4.0 license', 'copyright_owner': None}]""]",[CC-BY_v4] Creative Commons Attribution 4.0 International (Creative Commons) https://creativecommons.org/licenses/by/4.0/legalcode
1635268063-60305,"[""['MuseData', 'Humdrum']"", '', '']",NONE
1635268063-602125,"[""{'CANTUS database': '', 'SIMSSA project': '', 'SSHRC': 'http://www.sshrc-crsh.gc.ca', 'McGill University': 'https://www.mcgill.ca/music', 'DDMAL': 'http://ddmal.music.mcgill.ca/', 'CIRMMT': 'http://www.cirmmt.org', 'FRQSC': 'http://www.frqsc.gouv.qc.ca'}""]","The description does not match any of the listed licences. Therefore, the selected licences from the list are 'NONE'."
1638953483-3177638,"[""[{'image': 'https://www.omroepmuziek.nl/content/uploads/2021/04/logo_som_MCO-Gebouw.svg', 'text': '© MCO'}, {'image': 'https://www.omroepmuziek.nl/content/uploads/2021/04/logo_som_RFO.svg', 'text': '© RFO'}, {'image': 'https://www.omroepmuziek.nl/content/uploads/2021/04/logo_som_GOK.svg', 'text': '© GOK'}, {'image': 'https://www.omroepmuziek.nl/content/uploads/2021/04/logo_som_NTR_ZaterdagMatinee.svg', 'text': '© NTR Zaterdag Matinee'}, {'image': 'https://www.omroepmuziek.nl/content/uploads/2023/03/avrotrosvrijdagconcert-small-300x214.png', 'text': '© AVROTROS Vrijdagconcert'}, {'image': 'https://www.omroepmuziek.nl/content/uploads/2021/04/logo_som_Muziekschatten.svg', 'text': '© Muziekschatten'}]""]",NONE
1635268063-58305,['None listed'],NONE
1635268063-58402,"[""[{'owner': 'Creative Commons', 'url': None}]"", ""{'Adobe Illustrator': 'Unknown', 'SVG Export Plug-In': 'Unknown', 'W3C': 'http://www.w3.org/Graphics/SVG/1.1/DTD/svg11.dtd'}""]",NONE
1635268063-590653,"['{}', ""[{'name': 'CC BY-NC-SA 3.0', 'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/'}]""]",CC-BY-NC-SA_v4
1635268063-597933,"[""['BSD License']""]","The licence description 'BSD License' refers to the following licences: 

- [ApacheLicense20]
- [BSD0ClauseLicense]
- [BSD2ClauseLicense]
- [BSD3ClauseLicense]
- [ISCLicense]
- [NCSALicense]
- [SimplifiedBSDLicense]
"
1635268063-586261,"[""{'public domain': True, 'fair use': True}""]",NONE
1635268063-585588,"[""[{'name': 'Redmine', 'url': 'http://www.redmine.org/'}]""]",NONE
1635268063-601017,"[""{'RISM': 'https://rism.info'}""]",NONE
1635268063-591035,"[""['CreativeCommon Attribution-NonCommercial-ShareAlike 4.0 International License']"", ""{'https://alamire.s3.eu-west-3.amazonaws.com/media/teaser_AF_10_mask_nologo.mp4': 'unknown', 'https://alamire.s3.eu-west-3.amazonaws.com/media/Richafort__Salve_Regina.wav': 'unknown', '/static/images/bg.jpg': 'unknown'}""]",The licence description ['CreativeCommon Attribution-NonCommercial-ShareAlike 4.0 International License'] refers to the [CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International licence.
1635268063-595922,"[""[{'name': 'Linked Data 4 Libraries', 'url': 'https://www.ld4l.org'}]""]",NONE
1645595889-5140848,"[""[{'name': 'Unknown', 'file': 'LICENSE'}, {'name': 'GPL-3.0', 'file': 'COPYING'}]""]","The licence description corresponds to the following licences: 

- GPL-3.0"
1635268063-594207,"[""[{'name': 'CC BY-NC-SA 4.0', 'url': 'https://creativecommons.org/licenses/by-nc-sa/4.0/'}]""]",[CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (Creative Commons)
1635268063-592244,"[""[{'title': 'Appendix 1 - Recommended Recordings', 'DOI': 'http://dx.doi.org/10.17613/nfxg-fm47'}, {'title': 'Appendix 2 - Concert Spiritual Singers and Their Recordings', 'DOI': 'http://dx.doi.org/10.17613/kajz-wh33'}, {'title': 'Appendix 3 - Spirituals in Musical Anthologies', 'DOI': 'http://dx.doi.org/10.13140/RG.2.2.16163.50725/1'}, {'title': 'Appendix 4 - Song Literature Classification', 'DOI': 'http://dx.doi.org/10.17613/0yqp-fr89'}, {'title': 'Appendix 5 - Relevant Resources', 'DOI': 'http://dx.doi.org/10.17613/wfjy-kj50'}, {'title': 'Appendix 6 - African-American Art Songs Resource List'}, {'title': 'Appendix 7 - Composers Brief Biographies', 'DOI': 'http://dx.doi.org/10.17613/katc-q097'}, {'title': 'Appendix 8 - Art Songs by African American Composers in Musical Anthologies', 'DOI': 'http://dx.doi.org/10.17613/j85p-m959'}, {'title': 'Appendix 9 - Spirituals in Choral Music Anthologies', 'DOI': 'http://dx.doi.org/10.13140/RG.2.2.30224.97289'}]""]",NONE
1638798594-7252076,"['CC BY-NC-SA 4.0', ""['Creative Commons Attribution-ShareAlike 4.0 International License', 'GNU General Public License version 3.0', 'MIT License']""]","The licence description ""CC BY-NC-SA 4.0"" corresponds to the following licences: 

- [CC-BY-NC-SA_v4] Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode

- [GNU_GPL_v3] GNU General Public License 3 (Free Software Foundation) https://www.gnu.org/licenses/gpl.html

- [NONE] (No licence matches the MIT License)"
1635268063-597105,"[""{'Allgemeine Auftragsbedingungen': '/assets/verwaltung/dokumente/allgemeine-auftragsbedingungen.pdf'}"", ""{'logo_zwischenseite.gif': 'unknown'}""]",NONE
1635268063-602893,"[""['jQuery', 'midi-player']""]",NONE
1635268063-58968,"[""[{'title': 'CC BY-NC 4.0', 'website': 'https://creativecommons.org/licenses/by-nc/4.0/'}]""]",[CC-BY-NC_v4] Creative Commons Attribution-NonCommercial 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-nc/4.0/legalcode
1639385146-4206917,"[""['MIT License', 'Creative Commons Attribution 4.0']""]",NONE
1635268063-603289,"[""['API']""]",NONE
1635268063-603362,"[""[{'name': 'Unknown'}]""]",NONE
1635268063-593289,"[""[{'name': 'Public Domain Mark', 'url': 'http://creativecommons.org/publicdomain/mark/1.0/deed.de'}, {'name': 'Creative Commons BY-SA 4.0', 'url': 'https://creativecommons.org/licenses/by-sa/4.0/deed.de'}]""]","The description refers to the following licences: 

- Creative Commons BY-SA 4.0 (Creative Commons)
- NONE"
1635268063-601248,"",""
1635268063-601321,"[""[{'name': 'Creative Commons Attribution-ShareAlike license', 'holders': ['Stumptown Syndicate']}]"", ""['Creative Commons Zero license']""]",The description 'Creative Commons Attribution-ShareAlike license' refers to [CC-BY-SA_v4]. The description 'Creative Commons Zero license' refers to [Cc010Universal].
1635268063-587307,"[""['Website Access Agreement', 'License to Digitise and Archive Primary Sources', 'Licence to deliver images via the DIAMM website portal']"", '']",NONE
1635268063-579336,"[""[{'name': 'MuseData', 'url': '../musedata'}, {'name': 'Humdrum', 'url': '../humdrum'}]"", '{}']",NONE
1635268063-587743,['{}'],NONE
1645711057-8155167,['DMCA'],"The description ""DMCA"" does not correspond to any specific licence from the given list."
1635268063-581575,"['', ""[{'name': 'Creative Commons Attribution-ShareAlike', 'link': 'https://creativecommons.org/licenses/by-sa/3.0/'}]""]",[CC-BY-SA_v4] Creative Commons Attribution-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-sa/4.0/legalcode
1635268063-60109,"['Unknown', 'Various']",NONE
1664527234-1931784,{},"I can definitely help you with that. Please provide me with the YAML format containing the list of licences, and also the specific licence description you would like to match."
1635268063-584757,"[""{'Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License': {'website': 'https://creativecommons.org/licenses/by-nc-nd/4.0/'}, 'GNU General Public License v3.0': {'website': 'https://www.gnu.org/licenses/gpl-3.0.en.html'}}""]","['CC-BY-NC-ND_v4', 'GNU_GPL_v3']"
1639500234-4994435,"[""['IBICT/MCT', 'ICOM CIMCIM', 'Google for NonProfts', 'United Nations Volunteers']"", '', '']",NONE
1635268063-586186,"[""['unknown']"", '', 'Not specified']",NONE
1635268063-591857,"[""['Creative Commons Attribution 4.0 License (CC BY)']""]",[CC-BY_v4] Creative Commons Attribution 4.0 International (Creative Commons) https://creativecommons.org/licenses/by/4.0/legalcode
1635268063-588347,"",""
1664531599-3946595,"['worldwide, non-exclusive, royalty-free, transferable, sublicensable licence to use that Content']",NONE
1635268063-595843,"['Open-access', '', '']",NONE
1635268063-580315,"[""[{'name': 'CC BY-NC-SA 4.0', 'url': 'https://creativecommons.org/licenses/by-nc-sa/4.0/'}]""]",CC-BY-NC-SA_v4
1639037220-3709588,[],"Yes, I can help with that. Please provide me with the list of licences in YAML format."
1635268063-593896,"[""['4images']"", ""['copyright']""]",NONE
1635268063-596305,"['', '', ""[{'name': 'CC BY-SA 2.0 UK', 'link': 'https://creativecommons.org/licenses/by-sa/2.0/uk/'}, {'name': 'CC BY-SA 3.0', 'link': 'https://creativecommons.org/licenses/by-sa/3.0/'}, {'name': 'CC BY-SA 4.0', 'link': 'https://creativecommons.org/licenses/by-sa/4.0/'}]"", '', ""[{'name': 'Creative Commons Attribution-ShareAlike 3.0', 'url': 'https://creativecommons.org/licenses/by-sa/3.0/'}]""]","The licences that match the given licence description are:
- [CC-BY-SA_v3] Creative Commons Attribution-ShareAlike 3.0 International (Creative Commons) https://creativecommons.org/licenses/by-sa/3.0/
- [CC-BY-SA_v4] Creative Commons Attribution-ShareAlike 4.0 International (Creative Commons) https://creativecommons.org/licenses/by-sa/4.0/"
1635268063-600266,"[""[{'name': 'IMF logo', 'owner': 'Institució Milà i Fontanals, Barcelona'}, {'name': 'Facebook Like Box', 'owner': 'Facebook'}]""]",NONE
1635268063-600864,"[""['Reconocimiento CC-BY 4.0', 'CC0 1.0 Universal', 'CC0']"", '']","['CC-BY_v4', 'CC0 1.0 Universal']"
